Predicted Infected,District,Date
46.9551,Bagalakote,2020-04-18
49.5512,Bagalakote,2020-04-19
52.2309,Bagalakote,2020-04-20
54.9979,Bagalakote,2020-04-21
57.8561,Bagalakote,2020-04-22
60.8093,Bagalakote,2020-04-23
63.8613,Bagalakote,2020-04-24
67.0162,Bagalakote,2020-04-25
70.278,Bagalakote,2020-04-26
73.6507,Bagalakote,2020-04-27
77.1386,Bagalakote,2020-04-28
80.7459,Bagalakote,2020-04-29
84.2321,Bagalakote,2020-04-30
87.3869,Bagalakote,2020-05-01
90.24799999999999,Bagalakote,2020-05-02
92.8488,Bagalakote,2020-05-03
95.2183,Bagalakote,2020-05-04
97.3821,Bagalakote,2020-05-05
99.3627,Bagalakote,2020-05-06
101.18,Bagalakote,2020-05-07
102.851,Bagalakote,2020-05-08
104.391,Bagalakote,2020-05-09
105.81299999999999,Bagalakote,2020-05-10
107.13,Bagalakote,2020-05-11
108.352,Bagalakote,2020-05-12
109.48700000000001,Bagalakote,2020-05-13
110.545,Bagalakote,2020-05-14
111.53299999999999,Bagalakote,2020-05-15
112.456,Bagalakote,2020-05-16
113.321,Bagalakote,2020-05-17
114.133,Bagalakote,2020-05-18
114.895,Bagalakote,2020-05-19
115.613,Bagalakote,2020-05-20
116.29,Bagalakote,2020-05-21
116.929,Bagalakote,2020-05-22
117.53299999999999,Bagalakote,2020-05-23
118.104,Bagalakote,2020-05-24
118.645,Bagalakote,2020-05-25
119.15799999999999,Bagalakote,2020-05-26
119.802,Bagalakote,2020-05-27
120.73,Bagalakote,2020-05-28
121.943,Bagalakote,2020-05-29
123.449,Bagalakote,2020-05-30
125.255,Bagalakote,2020-05-31
127.376,Bagalakote,2020-06-01
129.827,Bagalakote,2020-06-02
132.632,Bagalakote,2020-06-03
135.813,Bagalakote,2020-06-04
139.401,Bagalakote,2020-06-05
143.429,Bagalakote,2020-06-06
147.936,Bagalakote,2020-06-07
152.965,Bagalakote,2020-06-08
158.565,Bagalakote,2020-06-09
164.791,Bagalakote,2020-06-10
171.705,Bagalakote,2020-06-11
179.37599999999995,Bagalakote,2020-06-12
187.87900000000002,Bagalakote,2020-06-13
197.3,Bagalakote,2020-06-14
207.733,Bagalakote,2020-06-15
219.282,Bagalakote,2020-06-16
232.06400000000002,Bagalakote,2020-06-17
246.206,Bagalakote,2020-06-18
261.85,Bagalakote,2020-06-19
279.154,Bagalakote,2020-06-20
298.291,Bagalakote,2020-06-21
319.455,Bagalakote,2020-06-22
342.858,Bagalakote,2020-06-23
368.73400000000004,Bagalakote,2020-06-24
397.345,Bagalakote,2020-06-25
428.978,Bagalakote,2020-06-26
463.95099999999996,Bagalakote,2020-06-27
502.616,Bagalakote,2020-06-28
545.362,Bagalakote,2020-06-29
592.617,Bagalakote,2020-06-30
644.856,Bagalakote,2020-07-01
702.605,Bagalakote,2020-07-02
766.442,Bagalakote,2020-07-03
836.873,Bagalakote,2020-07-04
914.448,Bagalakote,2020-07-05
999.9069999999999,Bagalakote,2020-07-06
1091.38,Bagalakote,2020-07-07
1186.81,Bagalakote,2020-07-08
1286.77,Bagalakote,2020-07-09
1391.85,Bagalakote,2020-07-10
1502.51,Bagalakote,2020-07-11
1619.22,Bagalakote,2020-07-12
1742.31,Bagalakote,2020-07-13
1872.08,Bagalakote,2020-07-14
2009.06,Bagalakote,2020-07-15
2153.75,Bagalakote,2020-07-16
2306.69,Bagalakote,2020-07-17
2468.45,Bagalakote,2020-07-18
2639.6,Bagalakote,2020-07-19
2820.76,Bagalakote,2020-07-20
2999.86,Bagalakote,2020-07-21
3172.55,Bagalakote,2020-07-22
3345.23,Bagalakote,2020-07-23
3516.97,Bagalakote,2020-07-24
3687.04,Bagalakote,2020-07-25
3854.9,Bagalakote,2020-07-26
4020.17,Bagalakote,2020-07-27
4182.56,Bagalakote,2020-07-28
4341.87,Bagalakote,2020-07-29
4497.97,Bagalakote,2020-07-30
4650.78,Bagalakote,2020-07-31
4800.23,Bagalakote,2020-08-01
4946.33,Bagalakote,2020-08-02
5089.07,Bagalakote,2020-08-03
5227.95,Bagalakote,2020-08-04
5362.68,Bagalakote,2020-08-05
5493.68,Bagalakote,2020-08-06
5621.35,Bagalakote,2020-08-07
5745.83,Bagalakote,2020-08-08
5867.24,Bagalakote,2020-08-09
5985.7,Bagalakote,2020-08-10
6101.17,Bagalakote,2020-08-11
6213.63,Bagalakote,2020-08-12
6323.19,Bagalakote,2020-08-13
6429.96,Bagalakote,2020-08-14
6537.51,Bagalakote,2020-08-15
6649.35,Bagalakote,2020-08-16
6765.51,Bagalakote,2020-08-17
6886.05,Bagalakote,2020-08-18
7011.07,Bagalakote,2020-08-19
7140.64,Bagalakote,2020-08-20
7274.88,Bagalakote,2020-08-21
7413.92,Bagalakote,2020-08-22
7557.86,Bagalakote,2020-08-23
7706.87,Bagalakote,2020-08-24
7861.07,Bagalakote,2020-08-25
8020.63,Bagalakote,2020-08-26
8185.72,Bagalakote,2020-08-27
8356.5,Bagalakote,2020-08-28
8533.14,Bagalakote,2020-08-29
8708.83,Bagalakote,2020-08-30
8877.38,Bagalakote,2020-08-31
9039.63,Bagalakote,2020-09-01
9196.27,Bagalakote,2020-09-02
9347.88,Bagalakote,2020-09-03
9494.96,Bagalakote,2020-09-04
9637.91,Bagalakote,2020-09-05
9777.07,Bagalakote,2020-09-06
9912.73,Bagalakote,2020-09-07
10045.1,Bagalakote,2020-09-08
10174.5,Bagalakote,2020-09-09
10301.0,Bagalakote,2020-09-10
