Predicted Infected,District,Date
36.545,Bagalakote,2020-04-18
38.6613,Bagalakote,2020-04-19
40.839,Bagalakote,2020-04-20
43.0824,Bagalakote,2020-04-21
45.3954,Bagalakote,2020-04-22
47.7813,Bagalakote,2020-04-23
50.2433,Bagalakote,2020-04-24
52.7841,Bagalakote,2020-04-25
55.4067,Bagalakote,2020-04-26
58.1139,Bagalakote,2020-04-27
60.9086,Bagalakote,2020-04-28
63.7938,Bagalakote,2020-04-29
66.7724,Bagalakote,2020-04-30
69.8474,Bagalakote,2020-05-01
73.0221,Bagalakote,2020-05-02
76.2997,Bagalakote,2020-05-03
79.6835,Bagalakote,2020-05-04
83.177,Bagalakote,2020-05-05
86.7837,Bagalakote,2020-05-06
89.9048,Bagalakote,2020-05-07
92.1982,Bagalakote,2020-05-08
93.9365,Bagalakote,2020-05-09
95.2995,Bagalakote,2020-05-10
96.406,Bagalakote,2020-05-11
97.3347,Bagalakote,2020-05-12
98.1377,Bagalakote,2020-05-13
98.8497,Bagalakote,2020-05-14
99.4939,Bagalakote,2020-05-15
100.086,Bagalakote,2020-05-16
100.63600000000001,Bagalakote,2020-05-17
101.15299999999999,Bagalakote,2020-05-18
101.64,Bagalakote,2020-05-19
102.101,Bagalakote,2020-05-20
102.54,Bagalakote,2020-05-21
102.958,Bagalakote,2020-05-22
103.35600000000001,Bagalakote,2020-05-23
103.73700000000001,Bagalakote,2020-05-24
104.1,Bagalakote,2020-05-25
104.448,Bagalakote,2020-05-26
104.78,Bagalakote,2020-05-27
105.098,Bagalakote,2020-05-28
105.40299999999999,Bagalakote,2020-05-29
105.694,Bagalakote,2020-05-30
105.97200000000001,Bagalakote,2020-05-31
106.23899999999999,Bagalakote,2020-06-01
106.494,Bagalakote,2020-06-02
106.738,Bagalakote,2020-06-03
107.287,Bagalakote,2020-06-04
108.345,Bagalakote,2020-06-05
109.804,Bagalakote,2020-06-06
111.59700000000001,Bagalakote,2020-06-07
113.68700000000001,Bagalakote,2020-06-08
116.057,Bagalakote,2020-06-09
118.704,Bagalakote,2020-06-10
121.634,Bagalakote,2020-06-11
124.86,Bagalakote,2020-06-12
128.401,Bagalakote,2020-06-13
132.282,Bagalakote,2020-06-14
136.531,Bagalakote,2020-06-15
141.178,Bagalakote,2020-06-16
146.26,Bagalakote,2020-06-17
151.816,Bagalakote,2020-06-18
157.889,Bagalakote,2020-06-19
164.52700000000004,Bagalakote,2020-06-20
171.782,Bagalakote,2020-06-21
179.71099999999996,Bagalakote,2020-06-22
188.37599999999998,Bagalakote,2020-06-23
197.84599999999998,Bagalakote,2020-06-24
208.196,Bagalakote,2020-06-25
219.50599999999997,Bagalakote,2020-06-26
231.86700000000002,Bagalakote,2020-06-27
245.375,Bagalakote,2020-06-28
260.137,Bagalakote,2020-06-29
276.27,Bagalakote,2020-06-30
293.901,Bagalakote,2020-07-01
313.168,Bagalakote,2020-07-02
334.224,Bagalakote,2020-07-03
357.235,Bagalakote,2020-07-04
382.381,Bagalakote,2020-07-05
409.86199999999997,Bagalakote,2020-07-06
439.894,Bagalakote,2020-07-07
472.713,Bagalakote,2020-07-08
508.577,Bagalakote,2020-07-09
547.77,Bagalakote,2020-07-10
590.601,Bagalakote,2020-07-11
637.405,Bagalakote,2020-07-12
688.552,Bagalakote,2020-07-13
744.445,Bagalakote,2020-07-14
805.5219999999997,Bagalakote,2020-07-15
872.265,Bagalakote,2020-07-16
945.199,Bagalakote,2020-07-17
1024.9,Bagalakote,2020-07-18
1111.98,Bagalakote,2020-07-19
1207.15,Bagalakote,2020-07-20
1310.98,Bagalakote,2020-07-21
1424.17,Bagalakote,2020-07-22
1547.64,Bagalakote,2020-07-23
1682.35,Bagalakote,2020-07-24
1829.37,Bagalakote,2020-07-25
1989.81,Bagalakote,2020-07-26
2164.93,Bagalakote,2020-07-27
2356.07,Bagalakote,2020-07-28
2529.59,Bagalakote,2020-07-29
2681.3,Bagalakote,2020-07-30
2832.68,Bagalakote,2020-07-31
2982.41,Bagalakote,2020-08-01
3129.75,Bagalakote,2020-08-02
3274.28,Bagalakote,2020-08-03
3415.78,Bagalakote,2020-08-04
3554.15,Bagalakote,2020-08-05
3689.35,Bagalakote,2020-08-06
3821.39,Bagalakote,2020-08-07
3950.32,Bagalakote,2020-08-08
4076.17,Bagalakote,2020-08-09
4199.01,Bagalakote,2020-08-10
4318.91,Bagalakote,2020-08-11
4435.92,Bagalakote,2020-08-12
4550.11,Bagalakote,2020-08-13
4661.56,Bagalakote,2020-08-14
4770.31,Bagalakote,2020-08-15
4876.44,Bagalakote,2020-08-16
4980.01,Bagalakote,2020-08-17
5081.08,Bagalakote,2020-08-18
5179.7,Bagalakote,2020-08-19
5275.95,Bagalakote,2020-08-20
5369.87,Bagalakote,2020-08-21
5461.51,Bagalakote,2020-08-22
5560.81,Bagalakote,2020-08-23
5673.94,Bagalakote,2020-08-24
5797.27,Bagalakote,2020-08-25
5928.7,Bagalakote,2020-08-26
6067.01,Bagalakote,2020-08-27
6211.51,Bagalakote,2020-08-28
6361.88,Bagalakote,2020-08-29
6517.98,Bagalakote,2020-08-30
6679.8,Bagalakote,2020-08-31
6847.41,Bagalakote,2020-09-01
7020.94,Bagalakote,2020-09-02
7200.54,Bagalakote,2020-09-03
7386.4,Bagalakote,2020-09-04
7578.7,Bagalakote,2020-09-05
7777.65,Bagalakote,2020-09-06
7968.34,Bagalakote,2020-09-07
8141.54,Bagalakote,2020-09-08
8302.99,Bagalakote,2020-09-09
8456.2,Bagalakote,2020-09-10
8603.33,Bagalakote,2020-09-11
8745.69,Bagalakote,2020-09-12
8884.11,Bagalakote,2020-09-13
9019.11,Bagalakote,2020-09-14
9151.02,Bagalakote,2020-09-15
9280.06,Bagalakote,2020-09-16
9406.38,Bagalakote,2020-09-17
9530.11,Bagalakote,2020-09-18
9651.32,Bagalakote,2020-09-19
9770.1,Bagalakote,2020-09-20
9886.48,Bagalakote,2020-09-21
10000.5,Bagalakote,2020-09-22
10112.3,Bagalakote,2020-09-23
10221.9,Bagalakote,2020-09-24
10329.3,Bagalakote,2020-09-25
10434.5,Bagalakote,2020-09-26
10537.6,Bagalakote,2020-09-27
10638.7,Bagalakote,2020-09-28
10737.7,Bagalakote,2020-09-29
10834.8,Bagalakote,2020-09-30
10941.2,Bagalakote,2020-10-01
11064.0,Bagalakote,2020-10-02
11199.3,Bagalakote,2020-10-03
11345.1,Bagalakote,2020-10-04
11500.0,Bagalakote,2020-10-05
11663.4,Bagalakote,2020-10-06
11835.1,Bagalakote,2020-10-07
12015.0,Bagalakote,2020-10-08
12203.4,Bagalakote,2020-10-09
