Predicted Infected,District,Date
14.9633,Bagalakote,2020-04-18
17.7624,Bagalakote,2020-04-19
20.1812,Bagalakote,2020-04-20
22.2884,Bagalakote,2020-04-21
24.1401,Bagalakote,2020-04-22
25.7815,Bagalakote,2020-04-23
27.2499,Bagalakote,2020-04-24
28.5752,Bagalakote,2020-04-25
29.9121,Bagalakote,2020-04-26
31.3884,Bagalakote,2020-04-27
32.9954,Bagalakote,2020-04-28
34.7271,Bagalakote,2020-04-29
36.5794,Bagalakote,2020-04-30
38.5496,Bagalakote,2020-05-01
40.6368,Bagalakote,2020-05-02
42.841,Bagalakote,2020-05-03
45.1632,Bagalakote,2020-05-04
47.6054,Bagalakote,2020-05-05
50.1701,Bagalakote,2020-05-06
52.8608,Bagalakote,2020-05-07
55.6811,Bagalakote,2020-05-08
58.6355,Bagalakote,2020-05-09
61.7288,Bagalakote,2020-05-10
64.9664,Bagalakote,2020-05-11
68.354,Bagalakote,2020-05-12
71.8977,Bagalakote,2020-05-13
75.6041,Bagalakote,2020-05-14
79.48,Bagalakote,2020-05-15
83.5329,Bagalakote,2020-05-16
87.7704,Bagalakote,2020-05-17
92.2006,Bagalakote,2020-05-18
96.0137,Bagalakote,2020-05-19
98.6247,Bagalakote,2020-05-20
100.305,Bagalakote,2020-05-21
101.271,Bagalakote,2020-05-22
101.694,Bagalakote,2020-05-23
101.71,Bagalakote,2020-05-24
101.428,Bagalakote,2020-05-25
100.93,Bagalakote,2020-05-26
100.28399999999999,Bagalakote,2020-05-27
99.5407,Bagalakote,2020-05-28
98.7388,Bagalakote,2020-05-29
97.9087,Bagalakote,2020-05-30
97.0729,Bagalakote,2020-05-31
96.3689,Bagalakote,2020-06-01
95.8862,Bagalakote,2020-06-02
95.5815,Bagalakote,2020-06-03
95.4196,Bagalakote,2020-06-04
95.3722,Bagalakote,2020-06-05
95.416,Bagalakote,2020-06-06
95.5324,Bagalakote,2020-06-07
95.7062,Bagalakote,2020-06-08
95.925,Bagalakote,2020-06-09
96.1789,Bagalakote,2020-06-10
96.4599,Bagalakote,2020-06-11
96.7613,Bagalakote,2020-06-12
97.07799999999999,Bagalakote,2020-06-13
97.5517,Bagalakote,2020-06-14
98.3108,Bagalakote,2020-06-15
99.3409,Bagalakote,2020-06-16
100.635,Bagalakote,2020-06-17
102.19,Bagalakote,2020-06-18
